epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,10.44262347623952,9.666807387960583,0.6840425531914893,0.7124600638977636
2,8.371494484191366,7.637379170914945,0.7042553191489361,0.7252396166134185
3,10.74733130797673,10.260652903068852,0.6404255319148936,0.670926517571885
4,10.813461878152053,10.008064693440625,0.6287234042553191,0.6645367412140575
5,7.193046394073523,6.801658668840747,0.7031914893617022,0.7124600638977636
6,7.4556744832733415,7.058294850746514,0.6829787234042554,0.7060702875399361
7,6.592165934822578,6.378251436231622,0.6829787234042554,0.6837060702875399
8,5.138335848693223,4.636417293157885,0.7138297872340426,0.7380191693290735
9,8.67853938668366,7.927990972640698,0.6436170212765957,0.6613418530351438
10,7.605333390132557,6.5893521332064875,0.6542553191489362,0.6932907348242812
11,4.731973896633895,4.556214286761865,0.7,0.7060702875399361
12,3.5054330073592097,3.2923814147591695,0.75,0.7635782747603834
13,5.969035774962109,5.332056654075273,0.6936170212765957,0.6900958466453674
14,6.854001941452971,6.249761520331518,0.6319148936170212,0.645367412140575
15,2.8774002693794953,2.853018717355783,0.75,0.7539936102236422
16,5.776708971771138,4.999167117833126,0.6776595744680851,0.670926517571885
17,5.819258434243639,4.885623066621904,0.6595744680851063,0.6741214057507987
18,5.945970147443878,5.119304416935395,0.6436170212765957,0.6517571884984026
19,5.827069028484662,5.068680883320866,0.6308510638297873,0.6389776357827476
20,5.689767983177303,4.871818249132441,0.6372340425531915,0.6421725239616614
21,5.156851358840171,4.516548246453627,0.6372340425531915,0.6357827476038339
22,4.7569298494717875,4.1268683814722715,0.6361702127659574,0.645367412140575
23,4.799940430664891,4.185684034249462,0.6436170212765957,0.6485623003194888
24,4.710832369475131,4.186711749476146,0.6351063829787233,0.6325878594249201
25,4.490529711008428,3.8601237986948895,0.6297872340425532,0.65814696485623
26,2.963796517283221,2.866527012129991,0.6893617021276596,0.7284345047923323
27,4.5337295318264985,4.008317166060897,0.6234042553191489,0.6485623003194888
28,4.2734911868400545,3.6967988883109606,0.6329787234042553,0.6517571884984026
29,2.789981184113982,2.818005938665958,0.6968085106382979,0.6996805111821086
30,4.129028886616449,3.7134264378232236,0.6170212765957447,0.6421725239616614
31,2.865297289558776,2.7792042574957914,0.6638297872340425,0.6932907348242812
32,3.8941902484816677,3.541166345120654,0.6202127659574468,0.6421725239616614
33,3.6307517717949644,3.2157425118591094,0.6361702127659574,0.6549520766773163
34,3.480924326284841,3.097137865774388,0.6382978723404256,0.6421725239616614
35,3.730419879215982,3.1976463602613103,0.6404255319148936,0.65814696485623
36,3.166704748557111,2.786432750659328,0.6670212765957447,0.6773162939297125
37,3.4903091639083605,3.0763829371140607,0.6287234042553191,0.6485623003194888
38,3.4053172520177726,3.013090517787455,0.6351063829787233,0.6485623003194888
39,3.1979815718015936,2.8474463797545972,0.6382978723404256,0.6389776357827476
40,3.0667481357301845,2.7675340852545034,0.6404255319148936,0.6389776357827476
41,3.0453509951262365,2.767703951883677,0.6393617021276595,0.6485623003194888
42,2.992433574560348,2.7224838252353356,0.6361702127659574,0.6485623003194888
43,2.9343922821342288,2.68449125507313,0.6340425531914894,0.6485623003194888
44,3.106660433168345,2.717671238563774,0.6287234042553191,0.6517571884984026
45,2.893989737375868,2.6027960422151173,0.6340425531914894,0.6421725239616614
46,2.8251243864841404,2.5516762049005157,0.6372340425531915,0.6517571884984026
47,2.781386554864459,2.5188071783702446,0.6361702127659574,0.6517571884984026
48,2.738319353021437,2.4881502023861573,0.6372340425531915,0.6517571884984026
49,2.663092621477595,2.459136309416229,0.6382978723404256,0.6517571884984026
50,2.653090051790844,2.4572716048192778,0.6361702127659574,0.6517571884984026
51,2.619592355558607,2.4322614930758917,0.6382978723404256,0.6517571884984026
